DATA,CLASE
Hasta siempre Humano,DESPEDIDA
Saludos cordiales Humano,DESPEDIDA
Adiós Humano,DESPEDIDA
Buenas noches Humano,DESPEDIDA
Con cariño Humano,DESPEDIDA
Hasta luego Humano,DESPEDIDA
Hasta pronto Humano,DESPEDIDA
¡Cuídate Humano!,DESPEDIDA
Un abrazo Humano,DESPEDIDA
Chao Humano,DESPEDIDA
Cuidate Humano,DESPEDIDA
 Atentamente Humano,DESPEDIDA
Nos Vemos Humano,DESPEDIDA
Chaolin humano,DESPEDIDA
Hasta siempre,DESPEDIDA
Saludos cordiales,DESPEDIDA
Adiós,DESPEDIDA
Buenas noches,DESPEDIDA
Con cariño,DESPEDIDA
Hasta luego,DESPEDIDA
Hasta pronto,DESPEDIDA
¡Cuídate!,DESPEDIDA
Un abrazo,DESPEDIDA
Chao,DESPEDIDA
Cuidate,DESPEDIDA
 Atentamente,DESPEDIDA
Nos Vemos,DESPEDIDA
Chaolin,DESPEDIDA
Buenos Dias Humano Como estas?,SALUDO
Buenos Dias Como estas?,SALUDO
Hola Humano Como estas?,SALUDO
Hola Como estas?,SALUDO
Hola Hola,SALUDO
Hola en que puedo serte util?,SALUDO
Hola en que te puedo ayudar?,SALUDO
Mucho Gusto Humano,SALUDO
Mucho Gusto,SALUDO
Encantado,SALUDO
Encantado Humano,SALUDO
Bienvenido Humano,SALUDO
Bienvenido,SALUDO
Un Placer,SALUDO
Un Placer Humano,SALUDO
José,NOMBRE
Juan,NOMBRE
Luis,NOMBRE
Carlos,NOMBRE
Jorge,NOMBRE
Manuel,NOMBRE
Francisco,NOMBRE
Víctor,NOMBRE
Pedro,NOMBRE
Cristián,NOMBRE
Héctor,NOMBRE
Sergio,NOMBRE
Sebastián,NOMBRE
Miguel,NOMBRE
Felipe,NOMBRE
María,NOMBRE
Ana,NOMBRE
Rosa,NOMBRE
Patricia,NOMBRE
Claudia,NOMBRE
Carolina,NOMBRE
Camila,NOMBRE
Catalina,NOMBRE
Javiera,NOMBRE
Francisca,NOMBRE
Juana,NOMBRE
Daniela,NOMBRE
Constanza,NOMBRE
Sofía,NOMBRE
Valentina,NOMBRE
