PREGUNTA,RESPUESTA
¿Qué son las Enfermedades de Transmisión Sexual (ETS)?,"Las enfermedades de transmisión sexual, son un grupo de enfermedades que se contagian durante las relaciones sexuales sin protección. Son causadas por virus, bacterias, hongos y otros gérmenes microscópicos.

Una persona infectada puede seguir propagando la enfermedad sin saber que la tiene, si no presenta síntomas y la infección pasa desapercibida. Estas enfermedades las pueden presentar personas de cualquier edad y sexo, pero los adolescentes y adultos jóvenes son los que están en mayor riesgo."
¿Cuáles son las ETS más conocidas?,"Tricomoniasis, clamidiasis, candidiasis o moniliasis vaginal, gonorrea o blenorragia, sífilis, chancro blanco, herpes, condilomatosis, hepatitis virales y VIH/SIDA."
¿Cuáles son las complicaciones de las ETS?,"Si no se tratan a tiempo pueden ocasionar esterilidad, enfermedades crónicas e incluso la muerte."
¿Cómo se transmiten?,"Por contacto sexual sin protección con personas infectadas
Por recibir transfusiones con sangre no segura o no certificada
Por el uso de agujas contaminadas de personas infectadas
Por medio de la placenta de la madre enferma, quien transmite al feto o al recién nacido la ETS
A través de la lactancia materna de una madre enferma de VIH/SIDA"
¿Si tengo sexo anal puedo contraer una ETS?,"Sí, porque es suficiente el roce y tocamiento de los genitales para infectarte de algunas ETS, aunque no haya penetración anal o vaginal."
¿Las ETS se pueden transmitir si no hay penetración?,"Sí, porque antes de la eyaculación masculina está el líquido preseminal, que es potencialmente infectante."
¿Cuál es el tratamiento de las Enfermedades de Transmisión Sexual?,"El tratamiento de una ETS debe de ser otorgado y vigilado por un médico, y se atiende tanto al paciente como a su pareja sexual."
¿Cómo se pueden prevenir las ETS?,"• Con el uso adecuado del condón
• Teniendo sólo una pareja sexual
• No realizando prácticas sexuales de riesgo"
¿Como podria contraer una ETS?,"Las ETS se propagan típicamente de las siguientes maneras:
Sexo oral, vaginal o anal sin protección con alguien que tiene una ETS.
Contacto con sangre infectada (compartir agujas, heridas abiertas).
El contacto piel a piel en algunos casos (como el VPH).
Del parto o de la lactancia (de madre a hijo)."
¿Cuales son los sintomas de las ETS?,"Muchas personas con ETS suelen ser ""asintomáticas"", es decir, no tienen ningún síntoma. Cuando una persona tiene síntomas, puede experimentar:
Incomodidad
Picazón
Quemazón
Descarga
Erupción/rojez
Olor
Dolor al orinar
Cada persona es única, y las ETS pueden tener diferentes niveles y tipos de síntomas para diferentes personas. Como es difícil saber si tiene una ETS, es importante hacerse pruebas regularmente."
¿Las ETS solo afectan a los genitales?,"No. Es común ver que las ETS aparecen en la garganta, ojos y zonas anales, además de los genitales. Algunas ETS, como la sífilis y la hepatitis, afectan a todo el cuerpo de una persona."
¿Pueden las ETS ser dañinas para mi salud?,"Sí. Cada ETS puede causar diferentes problemas de salud dependiendo de la persona. Sin embargo, la mayoría de las ETS pueden ser fácilmente tratadas o manejadas si se detectan a tiempo, sin problemas de salud a largo plazo. Si se deja sin tratar, algunas ETS pueden causar:
Infertilidad o problemas de fertilidad
Complicaciones del embarazo
Daños en los órganos
Cáncer
Muerte"
¿Como puedo hacerme la prueba de ETS?,"¿Cómo puedo hacerme la prueba de una ETS?
Hacerse la prueba de una ETS puede ser fácil y conveniente. Dependiendo de la(s) enfermedad(es) sexual(es) que se esté analizando y de dónde pueda estar la infección, las pruebas pueden realizarse en:
Muestra de orina
Muestra de fluido oral
Muestra de sangre (pinchazo en el dedo o extracción con aguja)
Hisopo (líquido, hisopo celular)
Visite la página Conozca su estado para encontrar un lugar de pruebas cerca de usted."
¿Que es la Gonorrea?,"La gonorrea puede infectar a cualquiera. Puede aparecer en la vagina, el ano y la garganta. Es una infección bacteriana que puede tener complicaciones a largo plazo, como la infertilidad, si no se trata."
¿Cuales son los sintomas de la Gonorrea?,"No todo el mundo experimenta síntomas de gonorrea, pero cuando lo hacen, los síntomas pueden incluir:
Sensación de ardor al orinar
Secreción blanca, amarilla o verde de la zona infectada
Picazón
Incomodidad
Testículos dolorosos o hinchados
Sangrado vaginal entre períodos"
¿Como me hago la prueba de la Gonorrea?,"La mayoría de las veces, sólo se necesita una muestra de orina para comprobar si hay gonorrea. Sin embargo, si ha tenido sexo anal y/u oral, también se pueden utilizar hisopos para recoger muestras de fluidos de estas zonas. Se recomienda que llame con antelación para confirmar que el lugar de la prueba es capaz de administrar pruebas de hisopado."
¿Se puede Tratar la Gonorrea?,"Sí. La gonorrea se puede curar con medicamentos recetados o de prescripción. Es importante tomar el medicamento tal como se ha recetado, incluso si los síntomas ya no se notan. También es posible infectarse de nuevo con gonorrea si se expone. Si le han diagnosticado gonorrea, también es posible obtener medicamentos para su pareja sexual, que puede que ni siquiera necesite ver a un médico"
¿Que es la Clamidia?,"La clamidia puede infectar a cualquiera. Puede aparecer en la vagina, el ano y la garganta. Es una infección bacteriana que puede tener complicaciones a largo plazo, como la infertilidad, si no se trata."
¿Cuales son los sintomas de la Clamidia?,"No todo el mundo experimenta síntomas de clamidia, pero cuando lo hacen, los síntomas pueden incluir:
Sensación de ardor al orinar
Secreción blanca, amarilla o verde de la zona infectada
Incomodidad
Sangrado
Testículos dolorosos o hinchados"
¿Como me hago la prueba de la Clamidia?,"La mayoría de las veces, sólo se necesita una muestra de orina para analizar la clamidia. Sin embargo, si ha tenido sexo anal y/u oral, también se pueden utilizar hisopos para recoger muestras de fluidos de estas zonas. Se recomienda que llame con antelación para confirmar que el lugar de la prueba es capaz de administrar pruebas de hisopado."
¿Se puede Tratar la Clamidia?,"Sí. La clamidia se puede curar con medicamentos de prescripción. Es importante tomar el medicamento tal como se ha recetado, incluso si los síntomas ya no se notan. También es posible volver a infectarse con clamidia si se expone. Si le han diagnosticado clamidia, también es posible obtener medicamentos para su pareja sexual; puede que ni siquiera necesite ver a un médico."
¿Que es la Sifilis?,"La sífilis puede infectar a cualquiera. La sífilis puede transmitirse a través del sexo oral, vaginal y anal y afectará a todo el sistema de una persona. Es una infección bacteriana que puede ser mortal si no se trata. Si una mujer tiene una infección de sífilis y queda embarazada, puede transmitir la infección a su bebé durante el embarazo. Cuando esto sucede, se conoce como sífilis congénita (CS). CS puede causar prematuridad, bajo peso al nacer, aborto espontáneo, nacimiento de mortinatos y una serie de problemas de salud o muerte después del nacimiento. Los casos de sífilis congénita han ido en aumento en Ohio y en todo el país, por lo que es importante que todas las mujeres embarazadas se hagan la prueba de sífilis durante su primera visita prenatal. "
¿Cuales son los sintomas de la Sifilis?,"Los síntomas de la sífilis dependen de la etapa de la infección en la que se encuentre la persona: Sífilis Primaria El primer signo de infección es una llaga en la piel llamada chancro, que es indolora y suele aparecer de una a tres semanas después de la exposición. Las áreas comunes para que aparezca un chancro están en o alrededor del área que se infectó primero, como: la boca, la vagina, el pene y el ano. El chancro suele desaparecer después de unas semanas, aunque alguien siga infectado con sífilis.Sífilis Secundaria Los signos y síntomas secundarios de la sífilis se producen dos o tres semanas después de la infección y pueden superponerse a la etapa primaria. Un sarpullido único de manchas rojas levantadas aparece a menudo en las palmas de las manos, la planta de los pies y la espalda de una persona. Este sarpullido no pica y causa poca o ninguna molestia.Etapa Latente/Tardía La etapa latente de la sífilis comienza cuando todos los demás síntomas han desaparecido. Si alguien no recibe tratamiento, continuará teniendo sífilis en su sistema durante años sin ningún otro signo. Más tarde, después de diez o treinta años, es posible que la sífilis cause parálisis, entumecimiento, ceguera, demencia y/o muerte."
¿Como me hago la prueba de la Sifilis?,Se utiliza un análisis de sangre para detectar la sífilis. Se recomienda que llame con anticipación para confirmar que el lugar de la prueba es capaz de completar un análisis de sangre para la sífilis.
¿Se puede Tratar la Sifilis?,"Sí. La sífilis se puede curar con antibióticos recetados por su médico. Sin embargo, el tratamiento no deshará ningún daño que la infección ya haya causado"
¿Que es la Vaginosis Bacteriana?,"La vaginosis bacteriana (VB) es una infección bacteriana causada por un desequilibrio de las bacterias normales que se encuentran en la vagina. Es la infección vaginal más común en personas jóvenes. Si bien la VB no se considera generalmente una infección de transmisión sexual, es más común en personas sexualmente activas y puede transferirse entre parejas sexuales con vaginas. Tener relaciones sexuales con parejas nuevas o múltiples puede aumentar el riesgo de VB. Otras actividades que pueden aumentar el riesgo de una persona son las duchas vaginales y el uso de productos perfumados alrededor de la vagina, que causan cambios en el pH natural de la vagina (acidez)."
¿Cuales son los sintomas de la Vaginosis Bacteriana?,"No todo el mundo experimenta síntomas de vaginosis bacteriana, pero cuando lo hacen, los síntomas pueden incluir:
Una fina secreción vaginal de color blanco o gris
Un olor similar a pescado que es especialmente fuerte después del sexo
Ardor o picazón en la vagina o alrededor de ella, incluso al orinar."
¿Como me hago la prueba de la Vaginosis Bacteriana?,Se utiliza un examen vaginal y/o una muestra de fluido vaginal para comprobar si hay vaginosis bacteriana. Se recomienda que llame con antelación para confirmar que el lugar de la prueba es capaz de completar una prueba de VB.
¿Se puede Tratar la Vaginosis Bacteriana?,"Sí. La vaginosis bacteriana a veces desaparece por sí sola, pero se puede curar con medicamentos recetados. Es importante tomar el medicamento tal como se ha recetado, incluso si los síntomas ya no se notan."
¿Que es la Shigella?,"La Shigella es una infección bacteriana causada por los gérmenes de las heces de algunos (excremento), se propaga por un mal lavado de manos o por la higiene de alguien que tiene la bacteria. También puede propagarse a través del sexo oral en el ano (nalgas) o de los dedos en el ano (nalgas) y de que los dedos toquen la boca. Es increíblemente contagiosa y se necesitan muy pocos gérmenes para propagarse."
¿Cuales son los sintomas de la Shigella?,"Los síntomas pueden incluir:
Diarrea (a veces con sangre)
Fiebre
Dolor de estómago
Sentir la necesidad de evacuar las heces (excremento) incluso cuando los intestinos están vacíos."
¿Como me hago la prueba de la Shigella?,La única manera de saber si está tratando con Shigella es que su médico recoja una muestra de heces (excremento).
¿Se puede Tratar la Shigella?,La mayoría de las personas infectadas con Shigella mejorarán sin medicamentos en 5-7 días. Siempre se recomienda hablar con el médico sobre las pruebas y el tratamiento
¿Que es la Hepatitis?,"La hepatitis es una inflamación del hígado, generalmente debido a una infección viral. Los tipos más comunes de hepatitis viral son la hepatitis A (VHA), la hepatitis B (VHB) y la hepatitis C (VHC). Para protegerse contra la hepatitis A y B, se dispone de vacunas; sin embargo, actualmente no existe una vacuna contra la hepatitis C."
¿Cuales son los sintomas de la Hepatitis?,"No todo el mundo experimenta síntomas de hepatitis, pero cuando lo hacen, los síntomas pueden incluir:
Fiebre
Fatiga
Orina oscura
Dolor abdominal
Pérdida de apetito
Náuseas
Vómitos
Dolor en las articulaciones
Ictericia"
